# Multiple Fe I lines (blended)
# Wavelength(Å), Opacity_single(cm⁻¹), Opacity_blended(cm⁻¹)
4998.172, 0.0, 0.0
4998.182, 0.0, 0.0
4998.192, 0.0, 0.0
4998.202, 0.0, 0.0
4998.212, 0.0, 0.0
4998.222, 0.0, 0.0
4998.232, 0.0, 0.0
4998.242, 0.0, 0.0
4998.252, 0.0, 0.0
4998.262, 0.0, 0.0
4998.272, 0.0, 0.0
4998.282, 0.0, 0.0
4998.292, 0.0, 0.0
4998.302, 0.0, 0.0
4998.312, 0.0, 0.0
4998.322, 0.0, 0.0
4998.332, 0.0, 0.0
4998.342, 0.0, 0.0
4998.352, 0.0, 0.0
4998.362, 0.0, 0.0
4998.372, 0.0, 0.0
4998.382, 0.0, 0.0
4998.392, 0.0, 0.0
4998.402, 0.0, 0.0
4998.412, 0.0, 0.0
4998.422, 0.0, 0.0
4998.432, 0.0, 0.0
4998.442, 0.0, 0.0
4998.452, 0.0, 0.0
4998.462, 0.0, 0.0
4998.472, 0.0, 0.0
4998.482, 0.0, 0.0
4998.492, 0.0, 0.0
4998.502, 0.0, 0.0
4998.512, 0.0, 0.0
4998.522, 0.0, 0.0
4998.532, 0.0, 0.0
4998.542, 0.0, 0.0
4998.552, 0.0, 0.0
4998.562, 0.0, 0.0
4998.572, 0.0, 0.0
4998.582, 0.0, 5.677240137029278e-11
4998.592, 0.0, 5.823766841241113e-11
4998.602, 0.0, 5.976039674374531e-11
4998.612, 0.0, 6.13436305348095e-11
4998.622, 0.0, 6.299061824852092e-11
4998.632, 0.0, 6.4704829314775e-11
4998.642, 0.0, 6.648997241738808e-11
4998.652, 0.0, 6.835001556693708e-11
4998.662, 0.0, 7.028920817071602e-11
4998.672, 0.0, 7.231210532251187e-11
4998.682, 0.0, 7.442359457598109e-11
4998.692, 0.0, 7.662892549185439e-11
4998.702, 0.0, 7.893374229789718e-11
4998.712, 0.0, 8.134412003650675e-11
4998.722, 0.0, 8.386660463547563e-11
4998.732, 0.0, 8.650825739625506e-11
4998.742, 0.0, 8.927670446140968e-11
4998.752, 0.0, 9.21801919153087e-11
4998.762, 0.0, 9.522764725600874e-11
4998.772, 0.0, 9.842874810010609e-11
4998.782, 0.0, 1.017939991050865e-10
4998.792, 0.0, 1.0533481825543042e-10
4998.802, 0.0, 1.0906363383801917e-10
4998.812, 0.0, 1.129939936453591e-10
4998.822, 0.0, 1.1714068820088544e-10
4998.832, 0.0, 1.215198901047637e-10
4998.842, 0.0, 1.2614931195629595e-10
4998.852, 0.0, 1.3104838573546835e-10
4998.862, 0.0, 1.3623846704152823e-10
4998.872, 0.0, 1.4174306821004872e-10
4998.882, 0.0, 1.4758812506295085e-10
4998.892, 0.0, 1.5380230296482928e-10
4998.902, 0.0, 1.604173489310214e-10
4998.912, 0.0, 1.6746849789705475e-10
4998.922, 0.0, 1.7499494286982335e-10
4998.932, 0.0, 1.8304038072243464e-10
4998.942, 0.0, 1.9165364783539513e-10
4998.952, 0.0, 2.0088946293622243e-10
4998.962, 0.0, 2.1080929827207476e-10
4998.972, 0.0, 2.214824051073216e-10
4998.982, 0.0, 2.3298702560952155e-10
4998.992, 0.0, 2.454118308416131e-10
4999.002, 0.0, 2.5885763442026016e-10
4999.012, 0.0, 2.7343944391117947e-10
4999.022, 0.0, 2.892889282464896e-10
4999.032, 0.0, 3.0655740042951304e-10
4999.042, 0.0, 3.2541944232683734e-10
4999.052, 0.0, 3.4607733446550275e-10
4999.062, 0.0, 3.687665018685935e-10
4999.072, 0.0, 3.9376225122578053e-10
4999.082, 0.0, 4.2138816160758685e-10
4999.092, 0.0, 4.5202660933914156e-10
4999.102, 0.0, 4.861320706944998e-10
4999.112, 0.0, 5.242480730109202e-10
4999.122, 0.0, 5.670289842808668e-10
4999.132, 0.0, 6.152682864523417e-10
4999.142, 0.0, 6.699356348248019e-10
4999.152, 0.0, 7.32225968287057e-10
4999.162, 0.0, 8.036253661784207e-10
4999.172, 0.0, 8.860005107917583e-10
4999.182, 0.0, 8.672135759959979e-10
4999.192, 0.0, 8.29037451365691e-10
4999.202, 0.0, 7.756384242711268e-10
4999.212, 0.0, 7.022589168179597e-10
4999.222, 0.0, 6.039721590557828e-10
4999.232, 0.0, 4.849631200412764e-10
4999.242, 0.0, 4.13496650619997e-10
4999.252, 0.0, 7.824086396347177e-10
4999.262, 0.0, 3.253540330522248e-9
4999.272, 0.0, 1.2205767648027248e-8
4999.282, 0.0, 4.037879464450984e-8
4999.292, 0.0, 1.1779869473289089e-7
4999.302, 0.0, 3.0307766531550504e-7
4999.312, 0.0, 6.877518017152273e-7
4999.322, 0.0, 1.3766501544755968e-6
4999.332, 0.0, 2.4309942976286463e-6
4999.342, 0.0, 3.7873853190209007e-6
4999.352, 0.0, 5.2047624081117894e-6
4999.362, 0.0, 6.304203098025354e-6
4999.372, 0.0, 6.721641641283517e-6
4999.382, 4.836756546769986e-10, 6.304690004124038e-6
4999.392, 4.961590790307462e-10, 5.205279801650956e-6
4999.402, 5.091320480412284e-10, 3.7879463650339983e-6
4999.412, 5.226204966878016e-10, 2.4315956547087564e-6
4999.422, 5.366521004301777e-10, 1.3772737246946957e-6
4999.432, 5.512564172754386e-10, 6.883780085067052e-7
4999.442, 5.664650435550788e-10, 3.0369654530441873e-7
4999.452, 5.82311784961337e-10, 1.1841140536817391e-7
4999.462, 5.988328445532012e-10, 4.099246087636142e-8
4999.472, 6.160670297069637e-10, 1.2827984792639061e-8
4999.482, 6.340559802069903e-10, 3.8897782456918085e-9
4999.492, 6.528444199820545e-10, 1.4358022156013762e-9
4999.502, 6.72480435341233e-10, 1.0859956579932494e-9
4999.512, 6.930157829464037e-10, 1.177885959318054e-9
4999.522, 7.145062311982355e-10, 1.3183781692479634e-9
4999.532, 7.370119392418755e-10, 1.4391836246275077e-9
4999.542, 7.60597878429719e-10, 1.5361640288483728e-9
4999.552, 7.853343017303757e-10, 1.6143132994639094e-9
4999.562, 8.112972674674103e-10, 1.678464819880817e-9
4999.572, 8.385692246291859e-10, 1.7247115246483056e-9
4999.582, 8.67239668229839e-10, 1.6710000717629965e-9
4999.592, 8.974058744257384e-10, 1.6297607420158554e-9
4999.602, 9.291737267056246e-10, 1.5992326565120142e-9
4999.612, 9.626586462315302e-10, 1.5780450903748685e-9
4999.622, 9.97986641693141e-10, 1.5651290573545526e-9
4999.632, 1.0352954964602246e-9, 1.5596526381094626e-9
4999.642, 1.074736114016948e-9, 1.5609732137707596e-9
4999.652, 1.1164740461855739e-9, 1.56860193354636e-9
4999.662, 1.1606912331880616e-9, 1.5821771804698924e-9
4999.672, 1.2075879896697979e-9, 1.6014447670493766e-9
4999.682, 1.2573852773257114e-9, 1.6262432561190572e-9
4999.692, 1.3103273123160865e-9, 1.656493265050977e-9
4999.702, 1.366684565101549e-9, 1.6921899402944195e-9
4999.712, 1.4267572216760666e-9, 1.7333980275345273e-9
4999.722, 1.4908791890562376e-9, 1.780249139720673e-9
4999.732, 1.5594227451674961e-9, 1.8329409608749898e-9
4999.742, 1.6328039542906187e-9, 1.8917382315378285e-9
4999.752, 1.711488995656079e-9, 1.956975452408239e-9
4999.762, 1.7960015854881018e-9, 2.0290613235241808e-9
4999.772, 1.886931713817249e-9, 2.108485013540503e-9
4999.782, 1.9849459691284464e-9, 2.195824432878121e-9
4999.792, 2.0907997894702933e-9, 2.291756771087774e-9
4999.802, 2.205352062059153e-9, 2.397071658374579e-9
4999.812, 2.329582600276089e-9, 2.5126874306494897e-9
4999.822, 2.4646131648823147e-9, 2.6396711251891892e-9
4999.832, 2.6117328754672017e-9, 2.779263020855544e-9
4999.842, 2.7724290919186984e-9, 2.9329067766932426e-9
4999.852, 2.948425154487379e-9, 3.10228653629901e-9
4999.862, 3.141726779724134e-9, 3.2893727779431523e-9
4999.872, 3.3546794582876877e-9, 3.496479242190314e-9
4999.882, 3.5900399400868638e-9, 3.906144406375392e-9
4999.892, 3.8510659015556475e-9, 4.1666200326569035e-9
4999.902, 4.141629278513475e-9, 4.457106114546493e-9
4999.912, 4.466360682362806e-9, 4.782221547147218e-9
4999.922, 4.8308350376417115e-9, 5.1475321095181925e-9
4999.932, 5.2418124580414575e-9, 5.559791189252172e-9
4999.942, 5.707553975700554e-9, 6.027255390287673e-9
4999.952, 6.238239939015695e-9, 6.560102836370014e-9
4999.962, 6.846531083550818e-9, 7.170994172498318e-9
4999.972, 7.54833071303024e-9, 7.875834699616361e-9
4999.982, 7.381896109484972e-9, 7.712885760342825e-9
4999.992, 7.0562984075316445e-9, 7.391224609852599e-9
5000.002, 6.600969483080592e-9, 6.940291321730569e-9
5000.012, 5.9753908264773825e-9, 6.319577698671466e-9
5000.022, 5.13773018346537e-9, 5.4872639716472425e-9
5000.032, 4.124507659735212e-9, 4.479884983877963e-9
5000.042, 3.521548283790061e-9, 3.883282855272582e-9
5000.052, 6.6927719999457105e-9, 7.061397100467316e-9
5000.062, 2.7836327448303106e-8, 2.821239855900527e-8
5000.072, 1.0434067656212642e-7, 1.0472477417023807e-7
5000.082, 3.449131142601249e-7, 3.4530584687308845e-7
5000.092, 1.0055406727914457e-6, 1.0059426801916709e-6
5000.102, 2.585537865928021e-6, 2.585949822705226e-6
5000.112, 5.864101817498826e-6, 5.864524436901471e-6
