# Fe I 5000.172 Å line profiles with different damping
# Wavelength(Å), Opacity_weak(cm⁻¹), Opacity_normal(cm⁻¹), Opacity_strong(cm⁻¹)
4998.172, 0.0, 0.0, 0.0
4998.182, 0.0, 0.0, 0.0
4998.192, 0.0, 0.0, 0.0
4998.202, 0.0, 0.0, 0.0
4998.212, 0.0, 0.0, 0.0
4998.222, 0.0, 0.0, 0.0
4998.232, 0.0, 0.0, 0.0
4998.242, 0.0, 0.0, 0.0
4998.252, 0.0, 0.0, 0.0
4998.262, 0.0, 0.0, 0.0
4998.272, 0.0, 0.0, 0.0
4998.282, 0.0, 0.0, 0.0
4998.292, 0.0, 0.0, 0.0
4998.302, 0.0, 0.0, 0.0
4998.312, 0.0, 0.0, 0.0
4998.322, 0.0, 0.0, 0.0
4998.332, 0.0, 0.0, 0.0
4998.342, 0.0, 0.0, 0.0
4998.352, 0.0, 0.0, 0.0
4998.362, 0.0, 0.0, 0.0
4998.372, 0.0, 0.0, 0.0
4998.382, 0.0, 0.0, 0.0
4998.392, 0.0, 0.0, 0.0
4998.402, 0.0, 0.0, 0.0
4998.412, 0.0, 0.0, 0.0
4998.422, 0.0, 0.0, 0.0
4998.432, 0.0, 0.0, 0.0
4998.442, 0.0, 0.0, 0.0
4998.452, 0.0, 0.0, 0.0
4998.462, 0.0, 0.0, 0.0
4998.472, 0.0, 0.0, 0.0
4998.482, 0.0, 0.0, 0.0
4998.492, 0.0, 0.0, 0.0
4998.502, 0.0, 0.0, 0.0
4998.512, 0.0, 0.0, 0.0
4998.522, 0.0, 0.0, 0.0
4998.532, 0.0, 0.0, 0.0
4998.542, 0.0, 0.0, 0.0
4998.552, 0.0, 0.0, 0.0
4998.562, 0.0, 0.0, 0.0
4998.572, 0.0, 0.0, 0.0
4998.582, 0.0, 0.0, 0.0
4998.592, 0.0, 0.0, 0.0
4998.602, 0.0, 0.0, 0.0
4998.612, 0.0, 0.0, 0.0
4998.622, 0.0, 0.0, 0.0
4998.632, 0.0, 0.0, 0.0
4998.642, 0.0, 0.0, 0.0
4998.652, 0.0, 0.0, 0.0
4998.662, 0.0, 0.0, 0.0
4998.672, 0.0, 0.0, 0.0
4998.682, 0.0, 0.0, 0.0
4998.692, 0.0, 0.0, 0.0
4998.702, 0.0, 0.0, 0.0
4998.712, 0.0, 0.0, 0.0
4998.722, 0.0, 0.0, 0.0
4998.732, 0.0, 0.0, 0.0
4998.742, 0.0, 0.0, 0.0
4998.752, 0.0, 0.0, 0.0
4998.762, 0.0, 0.0, 0.0
